fault_bus,bus_norm,branch_x,local_pd,local_qd,hops_to_gen,vmin
1,-3.141592653589793,0.0576,0.0,0.0,0,0.0006321679704839697
4,-0.7853981633974483,0.0576,0.0,0.0,1,0.0006369128551747302
4,-0.7853981633974483,0.092,0.0,0.0,1,0.0006369128551747302
5,0.0,0.092,0.9,0.3,2,0.0005463908288390771
5,0.0,0.17,0.9,0.3,2,0.0005463908288390771
6,0.7853981633974483,0.17,0.0,0.0,1,0.0006509430014111023
3,-1.5707963267948966,0.0586,0.0,0.0,0,0.0006394225455622763
6,0.7853981633974483,0.0586,0.0,0.0,1,0.0006509430014111023
6,0.7853981633974483,0.1008,0.0,0.0,1,0.0006509430014111023
7,1.5707963267948966,0.1008,1.0,0.35,2,0.0006135654704013481
7,1.5707963267948966,0.072,1.0,0.35,2,0.0006135654704013481
8,2.356194490192345,0.072,0.0,0.0,1,0.000676684955955832
8,2.356194490192345,0.0625,0.0,0.0,1,0.000676684955955832
2,-2.356194490192345,0.0625,0.0,0.0,0,0.0006790105556196127
8,2.356194490192345,0.161,0.0,0.0,1,0.000676684955955832
9,3.141592653589793,0.161,1.25,0.5,2,0.0005684643065800804
9,3.141592653589793,0.085,1.25,0.5,2,0.0005684643065800804
4,-0.7853981633974483,0.085,0.0,0.0,1,0.0006369128551747302
